index,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,target
0,43.98198979,100166.69637843,100162.06129562,100127.74203789,0.39461407,26.01897763,0
1,0.00099999,100102.89824581,100102.89838171,100061.97346226,0.63590841,24.56736359,0
2,0.00099999,100004.88478784,100004.88495024,99952.5744248,0.662402,30.91646171,0
3,0.00099999,99951.72128725,99951.72140306,99904.51304577,0.61580774,28.7487432,0
4,408.63465817,100404.23526916,100453.03706444,100349.934938,0.61942647,33.73404516,0
5,671.45825267,100249.60242952,100224.53606285,100309.99571623,0.46266876,29.34348803,1
6,209.20803154,100408.53082084,100406.97941453,100350.69643546,0.49258438,34.60046735,0
7,0.00099999,100445.69542584,100445.69546158,100395.12177786,0.53573882,31.47699867,1
8,78.2272964,100578.20651214,100580.29689102,100524.85243345,0.52672186,32.69250455,1
9,326.19676962,100324.37838853,100329.68039129,100311.41094424,0.516254,29.34786065,1
10,377.87353374,100524.71692453,100566.42137743,100538.8908366,0.61036616,24.38156003,0
11,0.00099999,100489.83554124,100489.83555775,100447.32443942,0.51650758,26.02571349,1
12,9.99899992,100322.26201029,100322.19685068,100276.79162773,0.49348338,27.17619187,0
13,0.00099999,100462.905618,100462.90571876,100407.4060173,0.60075746,28.61545526,0
14,0.00099999,100366.65239917,100366.65234969,100317.21650181,0.45052655,27.30818874,1
15,0.00099999,100338.28978764,100338.2896787,100292.92776435,0.39105898,24.65292665,0
16,0.00099999,100587.9590529,100587.95909191,100544.5283114,0.53900944,25.26098805,0
17,550.49078535,100044.23825345,100032.74409367,100029.01319555,0.47912015,25.30732749,1
18,457.56254911,100178.85832948,100206.55782015,100221.31423263,0.56053705,27.12197743,0
19,0.00099999,99794.05118324,99794.05123801,99736.52469302,0.55476978,33.30470496,1
20,0.00099999,99267.5795165,99267.57954011,99211.63132848,0.52361663,32.17373602,0
21,811.50555751,99227.33148644,99277.45104601,99193.66911694,0.5617612,31.64398585,0
22,1780.33365063,99510.47644653,99502.79191085,99508.02798321,0.49568365,31.39671903,0
23,1633.28162183,99672.53743112,99783.52126306,99749.15631467,0.56795143,30.12764772,1
24,1811.42879394,99864.91487853,99817.01337623,99935.79411906,0.47355595,28.28752441,1
25,2244.97320313,99838.32209369,100119.19993582,99778.4094265,0.62511411,30.49228199,1
26,1324.66891244,99486.66890734,99428.1111401,99649.19001152,0.45579441,26.59364279,0
27,1743.97629463,99582.49876432,99624.05961061,99710.83285539,0.52383108,28.39905703,0
28,2204.11294483,99537.81198696,99885.420779,99856.87495144,0.65770915,23.54354228,1
29,1433.73791715,99865.7811408,99750.7702265,99976.41470818,0.41978247,25.41700731,0
30,0.00099999,99746.99144439,99746.99146788,99694.54038089,0.52348971,29.49438273,1
31,396.20569409,99687.77141566,99717.07491411,99680.76372374,0.57396031,31.8157693,0
32,0.00099999,100104.76909255,100104.76912626,100053.4846357,0.53371056,28.78034547,0
33,245.68019154,100136.57302607,100141.14165989,100110.9627809,0.51859585,25.07945198,1
34,0.00099999,99934.58623552,99934.58635729,99878.70562688,0.62177212,33.18689236,1
35,533.39875,100322.86356887,100334.04866921,100293.50137266,0.52096949,33.23151896,0
36,616.95628051,99974.11273893,99979.85774338,99935.76593439,0.50931185,35.80885539,1
37,831.57014567,99880.47651062,99840.87137797,99932.17326378,0.45237307,26.25951423,0
38,482.45463661,99834.1787342,99832.39602946,99839.17128978,0.49630492,24.87585604,0
39,0.00099999,99946.95372455,99946.95363096,99887.67928322,0.40641329,32.19019655,0
40,0.00099999,100149.95692217,100149.95695918,100105.28614159,0.53700325,26.45516994,1
41,0.00099999,100367.00598631,100367.00598633,100315.67337282,0.50002282,28.44738664,1
42,26.0468973,99842.83615284,99841.02865982,99796.0547402,0.4306062,29.67351569,1
43,555.58414283,99787.74725551,99831.87423808,99792.46701573,0.57942448,27.0028713,0
44,859.71685681,99438.53488237,99373.87673045,99408.36978924,0.42479134,30.00165537,0
45,1679.40575572,99497.97375323,99397.85179229,99630.66299832,0.4403825,27.601348,0
46,1152.20970018,99528.78758527,99397.20167982,99499.07008638,0.38579691,31.2005497,1
47,2509.16674548,99808.60674273,99818.92726855,99654.159619,0.50411312,29.91024901,1
48,2106.15949113,100163.55321342,100048.64750991,100290.48353736,0.44544301,28.60217669,1
49,2401.0605318,100818.2250099,100625.12968207,100988.21010154,0.41957915,25.68949643,1
50,2104.26658371,100618.25786066,100582.64904442,100733.94959541,0.4830778,25.46047278,1
51,1827.50889679,101022.47531238,101026.30098916,101058.18014331,0.50209338,36.21282213,0
52,2969.13240381,101274.25085993,101316.6184631,101747.81411148,0.51426935,27.07386784,1
53,2565.66107579,101181.721177,101624.15277656,101419.27996277,0.6724435,23.93990049,1
54,2608.04623087,101306.93005463,101307.12721734,101317.7190588,0.50007559,34.62733355,0
55,3072.87380518,102015.35308193,102177.79896505,102463.57861732,0.55286448,26.29453949,1
56,3876.17853809,102332.58044269,102527.63111527,102745.22144388,0.55032035,26.25975848,1
57,3573.19261641,102055.6558366,102631.18094267,102151.8853119,0.66106747,29.77038462,1
58,3970.09094059,102434.01445282,102285.94487746,102856.78268898,0.46270373,26.83998725,0
59,4074.44540701,102818.56208125,102356.82386145,103355.58982491,0.38667458,23.77627453,1
60,3413.07082918,102991.10723194,103298.53796003,103174.31896671,0.59007452,29.1555673,1
61,3116.24156069,102169.16209827,102560.67448186,102216.34068828,0.62563608,33.15963345,1
62,3305.31785034,102490.30995728,102884.84405905,102603.75435964,0.61936343,32.01103208,0
63,3206.04902212,102854.83370027,102780.34300696,102946.35055848,0.47676557,34.18165004,1
64,3741.29725754,102972.40664459,103191.68024289,103001.2932691,0.55860897,28.44723365,1
65,4301.6261088,102911.30585513,102919.10300262,103365.48110491,0.5018126,22.99952792,1
66,4220.05273729,102669.20588957,103314.39830619,103368.36220433,0.65288728,25.98461699,0
67,3934.47726402,102898.90606776,103269.6518646,103456.84571099,0.59423,27.61618487,0
68,4269.03799435,102952.69867207,103205.35772664,103023.5201904,0.55918407,29.24317627,1
69,4268.24895582,102683.55937508,102879.98161556,102673.65212394,0.54601939,27.42923974,1
70,4666.82392555,103069.47910711,102585.51381894,103188.43981704,0.39629664,36.11487438,0
71,4181.17386791,103327.9338339,103041.95970758,103868.21893633,0.43160434,29.50394864,1
72,4392.23280468,103182.09907837,103404.96425885,103169.61805701,0.55074074,34.68774242,1
73,5270.78578796,103334.56754073,103694.77614564,103474.69757816,0.56834058,28.56888124,0
74,5515.72926392,103199.11599315,104005.18447683,103672.07043258,0.64613996,33.81258891,1
75,5567.26917146,103517.04952094,103703.38595493,104232.11494126,0.53346998,25.35132688,0
76,5212.97594568,103383.31043318,102785.36574271,103339.24820172,0.38529686,29.60649047,1
77,4149.18902416,103047.93373348,103227.9349583,103573.97911774,0.54338226,24.25235102,0
78,3355.48508494,103083.10673841,103170.53137067,103361.93820155,0.52605424,30.53006113,0
79,3572.90400989,103155.79470688,103552.46168693,103050.9026159,0.61102088,32.04586307,1
80,2928.85700074,103581.8742913,103693.26726622,103623.18441411,0.53803291,34.0007831,1
81,4892.07996943,102875.16303156,103137.47362102,103674.64146129,0.55361944,25.55385943,1
82,5320.77301984,102671.14420838,102952.705538,102898.4657849,0.55291737,27.60733417,0
83,5820.11389658,102240.08237375,102060.04267189,103046.03041557,0.46906594,29.00843298,0
84,5179.32311235,101781.41592772,101759.41171633,102548.9759506,0.49575152,27.88585413,0
85,4962.60205086,101995.2626219,102263.04932999,102220.63941321,0.55396094,34.15360017,0
86,5535.10339227,102248.73333322,102493.57877045,103182.44324503,0.54423502,27.9580526,1
87,5055.49788619,102766.81834458,102505.89538028,103609.38574009,0.44838827,24.62797279,1
88,5035.06632843,102347.91910377,102697.88959428,102908.62222226,0.56950662,27.02563008,1
89,4210.6846664,102660.29426549,102679.95866436,103236.77618034,0.50467011,28.54012631,0
90,4850.50428893,102442.60396371,102542.19187465,102852.05467977,0.52053145,31.44407664,1
91,5366.03337173,102801.09039923,102784.54445594,103163.21939607,0.49691654,28.01789443,0
92,5140.60254766,102645.86236102,102828.9193401,103361.49921368,0.53561002,28.33647845,1
93,6155.9044623,102852.42519839,103354.53130066,103140.10066424,0.58156496,28.20587534,0
94,5881.94850187,102914.2131831,103210.22468437,102655.26635848,0.55032541,30.28371678,1
95,5574.46428247,102663.01151847,103340.72430372,102527.60412615,0.62157451,31.2801801,1
96,6015.11802685,102684.25895917,102989.89672314,103681.06147633,0.55081159,25.40633148,0
97,5823.70830269,102986.5405871,103021.00455035,103040.37651054,0.50591787,29.13991679,1
98,5739.29117831,103535.70900361,103429.37961424,104057.22738776,0.48147342,32.48342764,1
