index,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,target
0,0.00099999,100116.1492591,100116.14921008,100102.06998854,0.45098282,10.98127549,0
1,0.00099999,100552.67216618,100552.67202049,100539.87904704,0.35430985,11.69247173,1
2,774.33804578,100946.32668022,100874.05500046,100896.43265353,0.4066665,10.50675507,1
3,438.88116376,101203.49803148,101217.64660706,101167.63726579,0.53223782,14.14924277,1
4,262.25357291,101573.03667482,101565.91895124,101528.33843763,0.47285938,10.72853788,1
5,746.50658002,101795.9771118,101843.95003161,101783.50873429,0.56426322,13.88714921,1
6,1394.2203257,101678.18563331,101790.67555208,101392.52409041,0.58068302,8.87338549,1
7,1523.22996279,101699.76449901,101564.56841079,101547.44537398,0.4112438,10.48972352,0
8,1533.59426335,101606.60389597,101646.88764378,101575.38203957,0.52626753,13.54782923,1
9,2000.566874,102203.39877608,101958.05307175,102127.73724003,0.3773619,10.04619236,0
10,1974.46500938,102357.20482009,102345.84820397,102304.67260703,0.49424825,13.66027512,1
11,1566.02809793,102369.92625726,102463.16077604,102309.0497323,0.55953566,10.17297902,1
12,946.72903083,102634.1279985,102741.13213854,102494.65593221,0.61302509,10.50842758,1
13,811.46583384,102571.04213956,102491.69406343,102461.96107381,0.40221636,8.93196343,1
14,1232.18708119,102479.92421024,102545.91067344,102342.38257396,0.5535523,12.05716997,0
15,1557.0666499,102761.49630103,102723.86545794,102693.79927203,0.47583222,12.32428152,0
16,2048.54220501,103043.01595955,103245.47389837,102992.47069758,0.59883025,10.80458532,1
17,2255.38063317,102948.16822086,103050.64115112,102799.18191434,0.54543487,9.8354141,1
18,1979.69553917,102743.29230037,102824.68725786,102532.02823002,0.54111488,9.99951357,0
19,1914.3956669,102716.02250073,102737.68319729,102716.6965342,0.51131463,13.31418653,0
20,1684.71226845,102902.66364447,102882.47016856,102988.22495499,0.48801369,11.65373088,0
21,1907.39938865,103015.30981718,102836.72797787,102757.37221012,0.40637417,10.54033501,1
22,1987.14768855,103262.27215996,103209.74573703,103048.28412542,0.47356692,11.49030518,1
23,1695.26986902,102904.56744456,102759.97910749,102905.99472168,0.41471072,13.08351263,1
24,1301.01976339,102809.06253933,102773.94543127,102732.90822817,0.47300801,10.00250815,0
25,2523.80334495,102691.62607688,102881.46246712,102515.73540826,0.57521837,15.45947969,0
26,2063.99310263,102082.68413644,102220.08165103,102044.6338638,0.56656878,13.16737275,0
27,746.61659796,102073.79954189,102137.5113768,101952.61550101,0.58533407,8.99058486,0
28,450.6522441,101817.26864914,101811.44932263,101780.43007324,0.48708687,12.03028522,0
29,1186.48719526,101821.66209344,101750.45639177,101786.21606069,0.43998611,12.94998062,0
30,679.81189119,101779.67442008,101827.43706236,101652.23501496,0.57025861,11.03494084,1
31,1361.5885856,102067.52978801,102004.51520287,101964.59628733,0.4537198,11.50394574,0
32,1065.45744063,102015.0613147,102096.21729695,101872.96498871,0.57617008,8.36433893,1
33,1082.66137066,102413.35225272,102514.49871198,102333.64587462,0.59342391,8.32146353,0
34,1664.96994174,102669.85793527,102539.11457469,102622.25487235,0.42147404,13.25557336,1
35,1850.79304197,102717.88390774,102745.61476468,102514.10625391,0.51498322,10.43599212,1
36,385.46545253,101925.2223975,101897.3343313,101883.37743957,0.42765093,11.63184782,1
37,0.00099999,102151.42512003,102151.4251065,102136.13517631,0.48646564,12.88428947,0
38,231.74267515,102470.6499544,102466.17668094,102469.85319161,0.48069723,11.38051647,1
39,527.31240962,102038.59390933,102080.23750588,102048.29486132,0.57897329,13.94598651,1
40,454.49766063,101927.87635193,101957.20358342,101892.54136385,0.56452669,9.80897932,0
41,1241.3392727,101468.37988938,101520.05399129,101465.19518128,0.5416277,13.07533896,0
42,1604.83990996,101966.05081556,101884.57650856,102026.82291385,0.44923212,10.41285899,0
43,2583.94291404,101831.95992319,101826.7556635,101425.30263302,0.49798592,9.55714528,1
44,1873.33920979,101956.19092616,102163.6701771,102043.71881985,0.6107537,12.39024681,0
45,2420.22375151,101668.45826285,101515.10139209,101520.492132,0.43663525,11.70693627,1
46,2030.76797546,101317.46573871,101242.40797665,101123.88197102,0.46303971,10.42411574,0
47,2305.11628815,100973.61796976,100735.39931807,100987.30001121,0.39665655,12.55710472,0
48,2807.13193042,101185.44381791,101314.2314819,101170.25749284,0.54587873,15.37167448,0
49,2696.33837157,101567.12372981,101434.23102038,101614.22788273,0.45071363,12.03914397,1
50,2584.82302832,101249.41185638,101173.04095938,101099.70444212,0.4704541,8.20020126,1
51,1965.03783843,101388.22143526,101539.03227056,101345.96911108,0.57674703,11.46006766,0
52,1637.7078395,101483.29927264,101327.77001011,101140.19037552,0.40503235,10.28122959,1
53,1237.18620207,101688.45086155,101692.75261489,101744.87022724,0.50347704,13.24293988,1
54,388.06058634,101732.91553971,101711.8974275,101705.64412792,0.44583806,13.88347884,1
55,0.00099999,101869.1482914,101869.14804988,101852.29568407,0.25848411,14.58395238,1
56,627.17245639,101405.9553749,101522.7838545,101390.82201576,0.68627807,10.37437639,1
57,806.20311844,101538.52371041,101589.76496865,101429.55787282,0.56355874,11.58174877,0
58,311.93439608,101632.28357523,101618.73343868,101570.67394981,0.45656094,10.52934584,1
59,1651.74474326,101614.95616536,101477.28206189,101438.87158021,0.41664928,9.64306507,1
60,2350.36300778,101085.56586329,101201.3546767,101264.07648321,0.54926422,12.83008556,0
61,2875.48512159,101411.41170643,101176.06602017,101356.26182753,0.41815444,12.08212135,0
62,2360.22262764,101795.90881798,101771.33524214,101983.08098397,0.48958845,12.08958585,1
63,1952.1450994,101932.46626428,101767.48307952,101785.51021852,0.4154862,13.17659495,1
64,2560.93469361,101792.24739012,101461.00707154,101552.79316383,0.37065647,10.48544881,1
65,1905.74816516,102206.22787252,102081.66165853,101976.06964527,0.43463658,11.73385849,0
66,2586.39835562,102022.35387155,101863.51929967,102192.17408768,0.43858851,13.4772083,1
67,2229.9630481,102451.59656674,102539.38325891,102325.93266578,0.53936688,10.79894478,0
68,2808.74718428,102095.82953174,101803.98731742,101958.24007463,0.39609523,11.83232157,1
69,2330.00458531,102256.75971361,102230.35671438,102344.17662802,0.48866826,12.1892068,0
70,1284.08963037,102635.10576267,102442.71129119,102586.46473848,0.35017052,14.98631823,1
